Symbol,Company Name,Industry,Sector
INFY,Infosys Limited,Computers - Software & Consulting,Unknown
INOXWIND,Inox Wind Limited,Heavy Electrical Equipment,Unknown
INTELLECT,Intellect Design Arena Limited,Computers - Software & Consulting,Unknown
IOB,Indian Overseas Bank,Public Sector Bank,Unknown
IOC,Indian Oil Corporation Limited,Refineries & Marketing,Unknown
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,Unknown
IRB,IRB Infrastructure Developers Limited,Civil Construction,Unknown
IRCON,Ircon International Limited,Civil Construction,Unknown
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Tour Travel Related Services,Unknown
IREDA,Indian Renewable Energy Development Agency Limited,Financial Institution,Unknown
IRFC,Indian Railway Finance Corporation Limited,Financial Institution,Unknown
ITC,ITC Limited,Diversified FMCG,Unknown
ITCHOTELS,ITC Hotels Limited,Hotels & Resorts,Unknown
ITI,ITI Limited,Telecom - Equipment & Accessories,Unknown
J&KBANK,The Jammu & Kashmir Bank Limited,Private Sector Bank,Unknown
JAINREC,Jain Resource Recycling Limited,Diversified Metals,Unknown
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals,Unknown
JBMA,JBM Auto Limited,Auto Components & Equipments,Unknown
JINDALSAW,Jindal Saw Limited,Iron & Steel Products,Unknown
JINDALSTEL,JINDAL STEEL LIMITED,Iron & Steel,Unknown
JIOFIN,Jio Financial Services Limited,Investment Company,Unknown
JKCEMENT,JK Cement Limited,Cement & Cement Products,Unknown
JKTYRE,JK Tyre & Industries Limited,Tyres & Rubber Products,Unknown
JMFINANCIL,JM Financial Limited,Holding Company,Unknown
JPPOWER,Jaiprakash Power Ventures Limited,Power Generation,Unknown
JSL,Jindal Stainless Limited,Iron & Steel,Unknown
JSWCEMENT,JSW Cement Limited,Cement & Cement Products,Unknown
JSWDULUX,JSW Dulux Limited,Paints,Unknown
JSWENERGY,JSW Energy Limited,Power Generation,Unknown
JSWINFRA,JSW Infrastructure Limited,Port & Port services,Unknown
JSWSTEEL,JSW Steel Limited,Iron & Steel,Unknown
JUBLFOOD,Jubilant Foodworks Limited,Restaurants,Unknown
