Symbol,Company Name,Industry,Sector
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,Unknown
ANANDRATHI,Anand Rathi Wealth Limited,Financial Products Distributor,Unknown
ANANTRAJ,Anant Raj Limited,Residential Commercial Projects,Unknown
ANGELONE,Angel One Limited,Stockbroking & Allied,Unknown
ANTHEM,Anthem Biosciences Limited,Biotechnology,Unknown
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,Unknown
APARINDS,Apar Industries Limited,Other Electrical Equipment,Unknown
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products,Unknown
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital,Unknown
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products,Unknown
APTUS,Aptus Value Housing Finance India Limited,Housing Finance Company,Unknown
ARE&M,Amara Raja Energy & Mobility Limited,Auto Components & Equipments,Unknown
ASAHIINDIA,Asahi India Glass Limited,Auto Components & Equipments,Unknown
ASHOKLEY,Ashok Leyland Limited,Commercial Vehicles,Unknown
ASIANPAINT,Asian Paints Limited,Paints,Unknown
ASTERDM,Aster DM Healthcare Limited,Hospital,Unknown
ASTRAL,Astral Limited,Plastic Products - Industrial,Unknown
ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier,Unknown
ATHERENERG,Ather Energy Limited,2/3 Wheelers,Unknown
ATUL,Atul Limited,Specialty Chemicals,Unknown
AUBANK,AU Small Finance Bank Limited,Other Bank,Unknown
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Unknown
AWL,AWL Agri Business Limited,Edible Oil,Unknown
AXISBANK,Axis Bank Limited,Private Sector Bank,Unknown
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers,Unknown
BAJAJFINSV,Bajaj Finserv Limited,Holding Company,Unknown
BAJAJHFL,Bajaj Housing Finance Limited,Housing Finance Company,Unknown
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Company,Unknown
BAJFINANCE,Bajaj Finance Limited,Non Banking Financial Company (NBFC),Unknown
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products,Unknown
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Unknown
BANDHANBNK,Bandhan Bank Limited,Private Sector Bank,Unknown
BANKBARODA,Bank of Baroda,Public Sector Bank,Unknown
BANKINDIA,Bank of India,Public Sector Bank,Unknown
BATAINDIA,Bata India Limited,Footwear,Unknown
BAYERCROP,Bayer Cropscience Limited,Pesticides & Agrochemicals,Unknown
BBTC,The Bombay Burmah Trading Corporation Limited,Packaged Foods,Unknown
BDL,Bharat Dynamics Limited,Aerospace & Defense,Unknown
BEL,Bharat Electronics Limited,Aerospace & Defense,Unknown
BELRISE,Belrise Industries Limited,Auto Components & Equipments,Unknown
BEML,BEML Limited,Construction Vehicles,Unknown
BERGEPAINT,Berger Paints (I) Limited,Paints,Unknown
BHARATFORG,Bharat Forge Limited,Auto Components & Equipments,Unknown
BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services,Unknown
BHARTIHEXA,Bharti Hexacom Limited,Telecom - Cellular & Fixed line services,Unknown
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,Unknown
BIKAJI,Bikaji Foods International Limited,Packaged Foods,Unknown
BIOCON,Biocon Limited,Pharmaceuticals,Unknown
BLS,BLS International Services Limited,Tour Travel Related Services,Unknown
BLUEDART,Blue Dart Express Limited,Logistics Solution Provider,Unknown
BLUEJET,Blue Jet Healthcare Limited,Pharmaceuticals,Unknown
BLUESTARCO,Blue Star Limited,Household Appliances,Unknown
BOSCHLTD,Bosch Limited,Auto Components & Equipments,Unknown
BPCL,Bharat Petroleum Corporation Limited,Refineries & Marketing,Unknown
BRIGADE,Brigade Enterprises Limited,Residential Commercial Projects,Unknown
BRITANNIA,Britannia Industries Limited,Packaged Foods,Unknown
BSE,BSE Limited,Exchange and Data Platform,Unknown
BSOFT,BIRLASOFT LIMITED,Computers - Software & Consulting,Unknown
CAMS,Computer Age Management Services Limited,Depositories Clearing Houses and Other Intermediaries,Unknown
CANBK,Canara Bank,Public Sector Bank,Unknown
CANFINHOME,Can Fin Homes Limited,Housing Finance Company,Unknown
CANHLIFE,Canara HSBC Life Insurance Company Limited,Life Insurance,Unknown
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,Unknown
CARBORUNIV,Carborundum Universal Limited,Abrasives & Bearings,Unknown
CARTRADE,Cartrade Tech Limited,E-Retail/ E-Commerce,Unknown
CASTROLIND,Castrol India Limited,Lubricants,Unknown
CCL,CCL Products (India) Limited,Tea & Coffee,Unknown
CDSL,Central Depository Services (India) Limited,Depositories Clearing Houses and Other Intermediaries,Unknown
CEATLTD,CEAT Limited,Tyres & Rubber Products,Unknown
CEMPRO,Cemindia Projects Limited,Civil Construction,Unknown
CENTRALBK,Central Bank of India,Public Sector Bank,Unknown
CESC,CESC Limited,Integrated Power Utilities,Unknown
CGCL,Capri Global Capital Limited,Non Banking Financial Company (NBFC),Unknown
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,Unknown
CHALET,Chalet Hotels Limited,Hotels & Resorts,Unknown
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilizers,Unknown
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries & Marketing,Unknown
CHOICEIN,Choice International Limited,Holding Company,Unknown
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),Unknown
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Investment Company,Unknown
CIPLA,Cipla Limited,Pharmaceuticals,Unknown
CLEAN,Clean Science and Technology Limited,Specialty Chemicals,Unknown
COALINDIA,Coal India Limited,Coal,Unknown
COCHINSHIP,Cochin Shipyard Limited,Ship Building & Allied Services,Unknown
COFORGE,Coforge Limited,Computers - Software & Consulting,Unknown
COHANCE,Cohance Lifesciences Limited,Pharmaceuticals,Unknown
COLPAL,Colgate Palmolive (India) Limited,Personal Care,Unknown
CONCOR,Container Corporation of India Limited,Logistics Solution Provider,Unknown
CONCORDBIO,Concord Biotech Limited,Pharmaceuticals,Unknown
COROMANDEL,Coromandel International Limited,Fertilizers,Unknown
CPPLUS,Aditya Infotech Limited,Industrial Products,Unknown
CRAFTSMAN,Craftsman Automation Limited,Auto Components & Equipments,Unknown
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Microfinance Institutions,Unknown
CRISIL,CRISIL Limited,Other Financial Services,Unknown
CROMPTON,Crompton Greaves Consumer Electricals Limited,Household Appliances,Unknown
CUB,City Union Bank Limited,Private Sector Bank,Unknown
CUMMINSIND,Cummins India Limited,Compressors Pumps & Diesel Engines,Unknown
CYIENT,Cyient Limited,IT Enabled Services,Unknown
DABUR,Dabur India Limited,Personal Care,Unknown
DALBHARAT,Dalmia Bharat Limited,Cement & Cement Products,Unknown
DATAPATTNS,Data Patterns (India) Limited,Aerospace & Defense,Unknown
DCMSHRIRAM,DCM Shriram Limited,Diversified,Unknown
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals,Unknown
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals,Unknown
DELHIVERY,Delhivery Limited,Logistics Solution Provider,Unknown
DEVYANI,Devyani International Limited,Restaurants,Unknown
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,Unknown
DIXON,Dixon Technologies (India) Limited,Consumer Electronics,Unknown
DLF,DLF Limited,Residential Commercial Projects,Unknown
DMART,Avenue Supermarts Limited,Diversified Retail,Unknown
DOMS,DOMS Industries Limited,Stationary,Unknown
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Unknown
ECLERX,eClerx Services Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Unknown
EICHERMOT,Eicher Motors Limited,2/3 Wheelers,Unknown
EIDPARRY,EID Parry India Limited,Other Food Products,Unknown
EIHOTEL,EIH Limited,Hotels & Resorts,Unknown
